epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,68.0591,2.76519,5.32292,2.40091,0.06467,0.10811,0.0584,0.01398,3.27822,4.7463,3.65793,0.00192872,0.00192872,0.00192872
38,69.4301,2.86169,3.11025,2.30435,0.06467,0.10811,0.0584,0.01398,3.27822,4.7463,3.65793,0.00192674,0.00192674,0.00192674
39,70.7669,2.61101,3.27019,2.27022,0.06467,0.10811,0.0584,0.01398,3.27822,4.7463,3.65793,0.00192476,0.00192476,0.00192476
40,72.0497,2.8936,3.45551,2.31288,0.06467,0.10811,0.0584,0.01398,3.27822,4.7463,3.65793,0.00192278,0.00192278,0.00192278
41,73.3859,2.95563,3.39145,2.44243,0.06467,0.10811,0.0584,0.01398,3.27822,4.7463,3.65793,0.0019208,0.0019208,0.0019208
42,74.7974,2.7666,3.54033,2.42013,0.46395,0.22232,0.21376,0.06889,2.74853,3.45866,1.91199,0.00191882,0.00191882,0.00191882
43,76.1825,2.29921,3.0595,1.51483,0.46395,0.22232,0.21376,0.06889,2.74853,3.45866,1.91199,0.00191684,0.00191684,0.00191684
44,78.2485,2.13312,3.3302,1.49797,0.46395,0.22232,0.21376,0.06889,2.74853,3.45866,1.91199,0.00191486,0.00191486,0.00191486
45,80.4744,2.09121,3.51109,1.62734,0.46395,0.22232,0.21376,0.06889,2.74853,3.45866,1.91199,0.00191288,0.00191288,0.00191288
46,81.7948,2.24481,2.50402,1.50263,0.46395,0.22232,0.21376,0.06889,2.74853,3.45866,1.91199,0.0019109,0.0019109,0.0019109
47,83.1645,2.42051,2.79431,1.57828,0.46395,0.22232,0.21376,0.06889,2.74853,3.45866,1.91199,0.00190892,0.00190892,0.00190892
48,84.4468,2.17704,2.8259,1.53889,0.46395,0.22232,0.21376,0.06889,2.74853,3.45866,1.91199,0.00190694,0.00190694,0.00190694
49,85.7352,2.10623,2.65615,1.49886,0.46395,0.22232,0.21376,0.06889,2.74853,3.45866,1.91199,0.00190496,0.00190496,0.00190496
50,87.0418,2.26851,2.82271,1.55959,0.46395,0.22232,0.21376,0.06889,2.74853,3.45866,1.91199,0.00190298,0.00190298,0.00190298
51,88.3913,2.30895,2.5213,1.47819,0.46395,0.22232,0.21376,0.06889,2.74853,3.45866,1.91199,0.001901,0.001901,0.001901
52,89.6922,2.12242,2.50665,1.51634,0.46395,0.22232,0.21376,0.06889,2.74853,3.45866,1.91199,0.00189902,0.00189902,0.00189902
53,91.2132,2.1676,3.51869,1.6467,0.39306,0.28378,0.28073,0.12531,2.18054,2.57054,1.44366,0.00189704,0.00189704,0.00189704
54,93.358,1.95109,2.11618,1.30065,0.39306,0.28378,0.28073,0.12531,2.18054,2.57054,1.44366,0.00189506,0.00189506,0.00189506
55,95.3881,1.80385,2.53857,1.38019,0.39306,0.28378,0.28073,0.12531,2.18054,2.57054,1.44366,0.00189308,0.00189308,0.00189308
56,96.6711,1.89823,2.34751,1.27737,0.39306,0.28378,0.28073,0.12531,2.18054,2.57054,1.44366,0.0018911,0.0018911,0.0018911
57,97.9351,1.81868,2.94092,1.37828,0.39306,0.28378,0.28073,0.12531,2.18054,2.57054,1.44366,0.00188912,0.00188912,0.00188912
58,99.2691,1.73719,2.56097,1.29741,0.39306,0.28378,0.28073,0.12531,2.18054,2.57054,1.44366,0.00188714,0.00188714,0.00188714
59,100.587,1.88916,2.4718,1.31804,0.39306,0.28378,0.28073,0.12531,2.18054,2.57054,1.44366,0.00188516,0.00188516,0.00188516
60,101.959,1.91194,2.42807,1.28019,0.39306,0.28378,0.28073,0.12531,2.18054,2.57054,1.44366,0.00188318,0.00188318,0.00188318
61,103.365,1.89143,2.14518,1.27968,0.39306,0.28378,0.28073,0.12531,2.18054,2.57054,1.44366,0.0018812,0.0018812,0.0018812
62,104.82,1.77619,2.80903,1.36289,0.39306,0.28378,0.28073,0.12531,2.18054,2.57054,1.44366,0.00187922,0.00187922,0.00187922
63,106.733,1.93199,2.58458,1.37522,0.39306,0.28378,0.28073,0.12531,2.18054,2.57054,1.44366,0.00187724,0.00187724,0.00187724
64,108.878,1.71027,2.27797,1.25257,0.59564,0.45786,0.48309,0.22031,1.94647,2.54634,1.448,0.00187526,0.00187526,0.00187526
65,110.303,1.72104,1.85443,1.19613,0.59564,0.45786,0.48309,0.22031,1.94647,2.54634,1.448,0.00187328,0.00187328,0.00187328
66,111.615,1.74157,1.94131,1.22586,0.59564,0.45786,0.48309,0.22031,1.94647,2.54634,1.448,0.0018713,0.0018713,0.0018713
